sid,survey_idno,variable,#_variable,var_dcml,loc_width,labl,var_security,var_universe_clusion,var_qstn_qstnlit,var_universe,var_sumstat_0,var_sumstat_type_0,var_sumstat_1,var_sumstat_type_1,var_format_type,var_val_range_min,var_val_range_max
523,DANE-DIMPE-EAM-2016,ACTIVFI,V4720,0,10,Activos Fijos,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Activos Fijos,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,5345722499
523,DANE-DIMPE-EAM-2016,BAGAAUTO,V4693,0,3,Autogeneración de Bagazo de caña,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Autogeneración de Bagazo de caña,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,100
523,DANE-DIMPE-EAM-2016,BAGAC,V4691,0,6,Cantidad de Bagazo de caña,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Cantidad de Bagazo de caña,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,830732
523,DANE-DIMPE-EAM-2016,BAGACO,V4694,0,3,Cogeneración de Bagazo de caña,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Cogeneración de Bagazo de caña,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,100
523,DANE-DIMPE-EAM-2016,BAGAV,V4692,0,8,Valor de Bagazo de caña,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Valor de Bagazo de caña,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,37382940
523,DANE-DIMPE-EAM-2016,c2r5CERT,V4646,0,7,Ingresos por cert causados en el año.,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Ingresos por cert causados en el año.,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,4174808
523,DANE-DIMPE-EAM-2016,c3r10c1,V4450,0,8,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Obreros,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Obreros,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,40782672
523,DANE-DIMPE-EAM-2016,c3r10c2,V4451,0,9,Costos y Gastos Causados pro el Personal Ocupado  - Administrativos,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Costos y Gastos Causados pro el Personal Ocupado  - Administrativos,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,131772831
523,DANE-DIMPE-EAM-2016,c3r10c3,V4452,0,9,Total  Costos y Gastos Causados pro el Personal Ocupado,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total  Costos y Gastos Causados pro el Personal Ocupado,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,134780334
523,DANE-DIMPE-EAM-2016,c3r10pt,V4449,0,8,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Profesional Tecnólogo o Técnico,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Profesional Tecnólogo o Técnico,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,27600171
