name,link
,#
,https://www.dane.gov.co/
Página principal,https://microdatos.dane.gov.co/index.php/
Catálogo Central de Datos,https://microdatos.dane.gov.co/index.php/catalog
IND-MICRODATOS,https://microdatos.dane.gov.co/index.php/catalog/Ind-Microdatos
DANE-DIMPE-EAM-2019,https://microdatos.dane.gov.co/index.php/catalog/694
,https://microdatos.dane.gov.co/index.php/catalog/Ind-Microdatos
Tecnología e innovación.,https://microdatos.dane.gov.co/index.php/catalog/TECINNO-Microdatos
Industria.,https://microdatos.dane.gov.co/index.php/catalog/Ind-Microdatos
Documentación en PDF,https://microdatos.dane.gov.co/index.php/catalog/694/pdf-documentation
DDI/XML,https://microdatos.dane.gov.co/index.php/metadata/export/694/ddi
JSON,https://microdatos.dane.gov.co/index.php/metadata/export/694/json
Descripción de la operación estadística,https://microdatos.dane.gov.co/index.php/catalog/694/study-description
Materiales Relacionados,https://microdatos.dane.gov.co/index.php/catalog/694/related-materials
Diccionario de Datos,https://microdatos.dane.gov.co/index.php/catalog/694/data-dictionary
Obtener Microdatos,https://microdatos.dane.gov.co/index.php/catalog/694/get-microdata
Identificación,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-identification
Alcance,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-scope
Cobertura,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-coverage
Productores patrocinadores,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-producers_sponsors
Recolección de Datos,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-data_collection
Cuestionarios,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-questionnaires
Procesamiento de datos,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-data_processing
Indicadores de la Calidad/Evaluación de la Calidad,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-data_appraisal
Acceso a los datos,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-data_access
Descargo de responsabilidad derechos de autor,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-disclaimer_copyright
Producción del metadato,https://microdatos.dane.gov.co/index.php/catalog/694#metadata-metadata_production
