name,link
Encuesta Anual Manufacturera – EAM - 1992 A 1994,https://microdatos.dane.gov.co/index.php/catalog/563
Encuesta Anual Manufacturera – EAM - 1995 A 1999,https://microdatos.dane.gov.co/index.php/catalog/492
Encuesta Anual Manufacturera – EAM - 2000 A 2007,https://microdatos.dane.gov.co/index.php/catalog/494
Encuesta Anual Manufacturera – EAM - 2008 A 2012,https://microdatos.dane.gov.co/index.php/catalog/493
Encuesta Anual Manufacturera – EAM - 2013 A 2015,https://microdatos.dane.gov.co/index.php/catalog/491
Encuesta Anual Manufacturera – EAM - 2016 - 2017,https://microdatos.dane.gov.co/index.php/catalog/523
Encuesta Anual Manufacturera – EAM - 2018,https://microdatos.dane.gov.co/index.php/catalog/650
Encuesta Anual Manufacturera – EAM - 2019,https://microdatos.dane.gov.co/index.php/catalog/694
Encuesta Anual Manufacturera – EAM - 2020,https://microdatos.dane.gov.co/index.php/catalog/724
Encuesta Anual Manufacturera – EAM - 2021.,https://microdatos.dane.gov.co/index.php/catalog/802
Encuesta Anual Manufacturera – EAM - 2022.,https://microdatos.dane.gov.co/index.php/catalog/836
